review_text,content_stem,review_rating,target
nakakainis yun ninjavan sabi nandito na sa place namin eh wala naman need na need ko pa naman order ko nakakinis lang talaga ang ninjavan parang mga tamad,nakakaini yun ninjavan nandito place eh wala need need order nakakini talaga ninjavan parang tamad,2,1
makakamura ka at magrefund talaga si shoppe🥰,makakamura magrefund talaga si shopp,5,0
maganda ako,maganda,5,0
my ordered stiff seems a bit damage but it's fine,order stiff seem bit damag fine,3,1
always late delivery. it takes almost 1 month before you receive your order,alway late deliveri take almost month receiv order,1,1
salamat shopee! 😁,salamat,5,0
awesom.,awesom,5,0
very affordable price and most of the seller are very accomodating..godbless,afford price accomod godbless,5,0
"super laggy at the start whenever i open the app, always crashing to the point that is prompts my device to restart all the way. ive only experienced this with shopee app.",super laggi start whenev open alway crash point prompt devic restart way ive experienc,1,1
very easy to shop and fast delivery. ive never encountered any scam seller here and the sf is cheap. thank you shopee.,easi shop fast deliveri ive never encount scam sf cheap thank,5,0
good shopping online store... may discount palagi...,good shop onlin store discount palagi,5,0
i love this app,love,5,0
this is amazing 🤩🤩🤩🤩🤩🤩🤩🤩🤩💖💖💖💖💖,amaz,5,0
medyo ok,medyo ok,5,0
the best shopping app ♥️♥️♥️,best shop,5,0
im happy with shopee,im happi,5,0
nice to shop...,nice shop,4,0
"most of my items are more than worth to it's price ..affordable items..nice service.. satisfied customer...keep it up shopee.. im not shopeeholic but everytime i have to order in shopee they give superb service,good items and legit shops.which makes shopping online more convenient..kya mamashop p more k tlga..thank u shopee.",worth price afford nice servic satisfi custom keep im shopeehol everytim order give superb servic good legit shop make shop onlin conveni kya mamashop p k tlga thank u,5,0
great shopping experience 😁,great shop experi,5,0
affordable prices compared to other online shop 😊,afford price compar onlin shop,5,0
ty shoppe,ty shopp,5,0
i love buying amd selling in this app lots of vouchers and coins to collect from games its more fun to shop here in shopee,love buy amd sell lot voucher coin collect game fun shop,5,0
my spaylater not visible.. i hope you can fix this problem.,spaylat visibl hope fix problem,3,1
nakakadismaya! scammer,nakakadismaya scammer,1,1
nice apps...,nice app,5,0
i love it🙂❤️😁,love,5,0
nice app 👌 and marami ding mga legit na product👌👌,nice ding legit product,5,0
"sadly, i can't give zero dito sa playstore but if i could, i'd definitely give you zero for the most terrible service i have ever experienced!",sadli give zero playstor could definit give zero terribl servic ever experienc,1,1
good products and delivery time,good product deliveri time,5,0
i love it 💖😍,love,5,0
its good aps,good ap,3,1
"before, gustong gusto ko ang shopee pero ngayon parang nagdadalawang isip ako sa bagal ng pagship nila. before kasi less than a week lng anjan na agad parcel mo tapos ngayon more than 2 weeks bago madeliver sa location ko. no to shopee express, hays hassle masyado talaga! bring back j&t, much better yun!",gustong parang nagdadalawang isip bagal pagship kasi less week lng anjan agad parcel mo tapo week madeliv locat express hay hassl talaga bring back j much better yun,2,1
make sure nalg po na ok po yung nga shop na pinapapasok nyo😊,make sure nalg po ok po nga shop pinapapasok,4,0
after a year my shop bumababa ang benta. sa isang linggo 5 item lang ang sale. minsan zero pa. sa dami ng item at good rating nawala ang sales. di rin nakakatulong ang adds sayang lang pera sa adds wala benta.😞😞😞 but thank you,year shop bumababa benta linggo sale zero dami good rate nawala sale rin nakakatulong add sayang pera add wala benta thank,2,1
very satisfactory quality ng mga items saka services..,satisfactori qualiti saka servic,4,0
sana bumaba ung shipping ang mahal kase pero ok nmn kya 5 star ndin,sana bumaba ung ship mahal kase ok nmn kya star ndin,5,0
very helpful application,help applic,5,0
excellent! accomodating! fast delivery!,excel accomod fast deliveri,5,0
"super lag, maybe because of the useless games installed, shopee is online shopping not online gaming.",super lag mayb useless game instal onlin shop onlin game,1,1
jjui,jjui,4,0
inubos nitong app na to ang pera ko.,inubo nitong pera,5,0
affordable,afford,4,0
so convenient,conveni,5,0
very good app and very helpful 😍,good help,5,0
very nice 👍i give you 5 stars,nice give star,5,0
cant explain!,cant explain,5,0
"your app/platform became worse. ordered an item last 12.12 took more than 3 weeks thru shopee ""express"" lex or laz express is 1 day shipping even on 12.12 sale. shame on you shopee.",platform becam wors order last took week thru express lex laz express day ship even sale shame,1,1
great experience as always...,great experi alway,5,0
its good♓🛐,good,5,0
super easy gamitin,super easi gamitin,5,0
godbles,godbl,5,0
i didn't want like that ugly shoppee it'so ugly sounds 🤣🤣🤣🤣🤣,want like ugli ugli sound,1,1
nakakatulong sa mga nanay na hindi maka alis para maka bili ng kailangan ...,nakakatulong nanay maka ali maka bili,5,0
terrific,terrif,5,0
2 buto lang tumubo sa tinanim ko sna mag tuloy,buto tumubo tinanim sna mag tuloy,2,1
it a ok,ok,5,0
"the system is unstable. i already paid for the product since it does not allow cod. but earlier this morning, shopee notified me that the product has not been paid yet. now what should i do?",system unstabl alreadi paid product sinc allow cod earlier morn notifi product paid yet,4,0
good 😊😊😊,good,5,0
"very useful,i enjoy it",use enjoy,4,0
nauubos pera ko dahil sa app na to.,nauubo pera,1,1
this app is good,good,5,0
this app is adorable😘,ador,5,0
recommendable,recommend,5,0
super easy to shop ..,super easi shop,4,0
l love this app,l love,5,0
salamat shopeee!,salamat shopee,5,0
salamat shoppe i enjoy your free shipping,salamat shopp enjoy free ship,5,0
ew,ew,2,1
you should never trust shoppe its a scam!!!!! shoppe is the worst app,never trust shopp scam shopp worst,1,1
not interested,interest,1,1
"i love shopee lalo na ang free shipping and cashback programs, the coins are very helpful and i can't buy in shopee without them🥰 what i suggest is sana hindi lang items ang pwede naming isearch kundi pati name ng shops❤ sana din may reply section sa reviews maliban sa mga missmong sellers. saka dapat iallow din po ang mag submit ng video kapag may irerefund or irerequest dahil may mga bagay na hindi kayang iprove ng photos (e.g. defective earphones, etc.)",love lalo free ship cashback program coin help buy without suggest sana pwede name isearch kundi pati name shop sana repli section review maliban missmong saka iallow po mag submit video irerefund irerequest bagay kayang iprov photo e g defect earphon etc,4,0
good to use this app,good use,5,0
awesome 👍😎,awesom,1,1
guick delivery,guick deliveri,5,0
"ampanget na ng games nyo, lalo na yung sa shopee farm. wala pang 3seconds ubos na agad yung mga itatanim. bulok!!!!!!",ampanget game lalo farm wala pang second ubo agad itatanim bulok,1,1
ok po ang serbisyo.,ok po serbisyo,5,0
shopee i can't cash in. my spaylater is now skyrocketing with late fees plus your e-payment has admin fee 😡😡😡🤬,cash spaylat skyrocket late fee plu e payment admin fee,1,1
ŕ&qaw,qaw,2,1
i just simply enjoy shopping through shopee!,simpli enjoy shop,5,0
its good and fast,good fast,5,0
nice 👌👌👌,nice,5,0
"i am so frustrated because i have been encountering many problems with this platform.i am not able to buy using cash on delivery but sellers offer cod.shopee said that we can buy using cod but it is not.i was really frustrated and pissed off beacuse i was able to buy before using cod but now cod option is greyed out and has a questmark and when you click on it,you get""your address doesnt support cod"" really!then why i was able to before.you guys are so ridiculous.i already sent an email to you guys.",frustrat encount mani problem platform abl buy use cash deliveri offer cod said buy use cod realli frustrat piss beacus abl buy use cod cod option grey questmark click get address doesnt support cod realli abl guy ridicul alreadi sent email guy,1,1
great😍,great,5,0
affordable..it's easy steps to purchase.. its great to have this apps..,afford easi step purchas great app,5,0
the voucher is not working even if your acount is new.,voucher work even acount new,1,1
"laging completo at hnd aq binibigo ng mga seller at s shopee,slmt shopee",lage completo hnd aq binibigo slmt,5,0
💯💯 super enjoy mag shopping sa shopee . good job shopee👍😊😊❤️,super enjoy mag shop good job,5,0
very fast delivery salamat shoppeee,fast deliveri salamat shoppee,5,0
"always having an error every time i tried reloading my shoppee pay, we used to enjoy shopping here via shoppe pay but now it's lost. the customer service reps are very responsive but they are not knowledgeable enough to help fix or find troubleshooters that can help with the problems me and my husband encountered.",alway error everi time tri reload pay use enjoy shop via shopp pay lost custom servic rep respons knowledg enough help fix find troubleshoot help problem husband encount,1,1
good company. your purchased is 100 percent secure and guaranteed.,good compani purchas percent secur guarante,5,0
assumes,assum,4,0
goodshit,goodshit,5,0
magmada maganda mganada sya hahahahaha sarap mag shopping,magmada maganda mganada sya hahahahaha sarap mag shop,5,0
happy.,happi,5,0
maganda mag order sa shopee bukod sa makakapamili ka mura pa... kaya salamat shopee,maganda mag order bukod makakapamili mura salamat,5,0
practically amazing👍👍👍,practic amaz,5,0
awesome!,awesom,5,0
bakit ganun may bayad na shipping nila :( dami ko oorderin e :(,ganun bayad ship dami oorderin e,1,1
you guys suck,guy suck,1,1
"keeps on crashing, loading and restarting even tho my internet is fast",keep crash load restart even tho internet fast,1,1
shopee is good quality items😂😂😂😂 thank you shopee☺️☺️,good qualiti thank,5,0
okey nmn sa ngayon okey hnd pa nmn ako nka experience ng hnd ok sa shopee😊👍,okey nmn okey hnd nmn nka experi hnd ok,5,0
very helpful ng shoppee bagay na bagay sa mga tamad lumabas para magshopping.,help bagay bagay tamad lumaba magshop,5,0
hassle free shopping.. convenient way to buy product.. a lot of choices to choice from..,hassl free shop conveni way buy product lot choic choic,5,0
happy to see my order,happi see order,4,0
thank you,thank,4,0
very nice to free shipping everyday but i'm sad to payment options no available to cash on deliver only gcash and any online payment not averyday i have credit too my gcash 😅,nice free ship everyday sad payment option avail cash deliv gcash onlin payment averyday credit gcash,5,0
very satisfied!!,satisfi,5,0
i love shopee! ❤️,love,5,0
shopee why so buggy? it takes me 3 hours to download,buggi take hour download,2,1
good for me but not for my money 🥲,good money,5,0
"maganda po,,nawili na po ako mag order dhil sa araw araw may free shipping kumpara sa ibang online shop,,salamat shopee",maganda po nawili po mag order dhil araw araw free ship kumpara ibang onlin shop salamat,5,0
5 star for great online shopping experience,star great onlin shop experi,5,0
shopee lng naging sandigan namin sa panahon ng ecq. si lazada mapili sa delivery,lng sandigan ecq si lazada mapili deliveri,5,0
by the way make sure to fix the bug on shipping options and the cod it keeps on glitching,way make sure fix bug ship option cod keep glitch,1,1
i love shopee hahaha naumpisahan naadik,love hahaha naumpisahan naadik,5,0
"sometimes my order, is what i exprected but sometimes dont but its 100/10 so good app",sometim order exprect sometim dont good,5,0
magnda sya ksi may cod d ka masscam,magnda sya ksi cod masscam,5,0
very very poor costumer service assistance with gina then ralph then alyzza..its more likely playing basketball..they passing the ball to one onother so much annoying and disappointment🤬🤬🤬😡😡😡,poor costum servic assist gina ralph alyzza like play basketbal pass ball one onoth much annoy disappoint,1,1
it was a good recommendation for who are make a small business nice quality and low prices. thank you ❤️,good recommend make small busi nice qualiti low price thank,5,0
shopee free,free,5,0
ang bilis maka order.,bili maka order,4,0
i recommed shoppee where you can find all of your daily needs and first on online selling. overall i give them 5 star because shoppee is the only online store you can trust thank you shoppee ! 😃😎🤩,recom find daili need first onlin sell overal give star onlin store trust thank,5,0
so happy,happi,5,0
"hi shopee. yung isang order ko po naka lagay ""returned to seller"" but i already received and paid the item. tapos sabi pa na pag may 3 failed attempts ako no more cod na. tsk. help. i dont want to have a bad review in shopee since i really like the app. and right now the app cant connect to the internet. why is that?",hi order po naka lagay return alreadi receiv paid tapo pag fail attempt cod tsk help dont want review sinc realli like right cant connect internet,3,1
at first the app was good but now i have to update every couple of days. it takes a lot of time to load products so i often just choose to use and order from other shopping apps.,first good updat everi coupl day take lot time load product often choos use order shop app,2,1
always the go to app when there is sale!!!,alway go sale,5,0
my go-to online shopping app.,go onlin shop,5,0
solid,solid,5,0
"the delivery is poor, always delayed tsk.",deliveri poor alway delay tsk,1,1
its so so great,great,5,0
i' m very satisfied with shopee❤❤❤,satisfi,5,0
"vli po kayo, garantisado",vli po kayo garantisado,5,0
because its amazig,amazig,5,0
"i'm getting really really upset about this whole thing. i like lazada more, no hassle, no 3rd party involved. lazada takes care of getting the item from the seller and delivers it directly to the customer!",get realli realli upset whole thing like lazada hassl rd parti involv lazada take care get deliv directli custom,1,1
i cant see the pictures of the products,cant see pictur product,3,1
ok kayu lami kayu,ok kayu lami kayu,5,0
everything is here!,everyth,5,0
"so obsessed with this app, all you want is here!🧡🧡🧡",obsess want,5,0
recommended,recommend,5,0
shopee app is superb!!! except sometimes in delivery mejo matagal pero ok lng,superb except sometim deliveri mejo matag ok lng,5,0
user friendly interface.,user friendli interfac,5,0
good service,good servic,5,0
so great,great,5,0
okay naman fast delivery at mababait ang mga rider. good quality ang product yun nga lang minsan ang hirap mag order.,okay fast deliveri mababait rider good qualiti product yun nga hirap mag order,4,0
"i litre don't have any problem on this app.. pero nung nag buy ako ng maraming stuffs, biglang nag pop na ""sorry you have reached the cash on delivery order limit"" i just don't get it? i'd try to fix it pero ang gulo...",litr problem nung nag buy maram stuff biglang nag pop sorri reach cash deliveri order limit get tri fix gulo,1,1
maganda yung tela...fast shipping din xa...,maganda tela fast ship xa,5,0
very useful app especially for those who have no time to shop..,use especi time shop,5,0
give us an option to choose delivery partner for our parcel! j&t is so annoying. it takes ages and they didn't even handled my parcel very well unlike the others,give us option choos deliveri partner parcel j annoy take age even handl parcel well unlik other,1,1
nice one shopee. dami ko na naorder. suliiiit! 😗💯,nice one dami naorder suliiiit,5,0
love this app,love,5,0
saya ng buhay pag may shopee apps,saya buhay pag app,5,0
its easy to use,easi use,5,0
p*t*nga *na mo shopee xpress delivery.. panira ka ng december hayup ka.. nakakagigil napaka tagal ng delivery.. nakaka mura talaga,p nga mo xpress deliveri panira decemb hayup nakakagigil tagal deliveri nakaka mura talaga,1,1
na eenjoy ko yung free shipping kaso yun lang sa mga piling store lang.,eenjoy free ship kaso yun pile store,5,0
"reliable application, madaming discounts, vouchers at promos",reliabl applic madam discount voucher promo,5,0
nice shopping app.,nice shop,5,0
thank you😊😊,thank,5,0
it's so less and fast.thank you shopee,less fast thank,5,0
literally there is only 1 pesos but you can't even buy it,liter peso even buy,2,1
thanks shopee magaganda lahat na tanggap ko .,thank magaganda tanggap,5,0
better than any other app. you protect your customers at all cost. ❤️💯,better protect custom cost,5,0
so far its good,far good,4,0
nice!..i'd enjoyed a lot,nice enjoy lot,5,0
lalalalalalallall,lalalalalalallal,5,0
secure system,secur system,5,0
salamat shopee!!!,salamat,5,0
"i have to update the app monthly and it takes up too much space... the app is glitching even though i updated,uninstalled and re-installed it",updat monthli take much space glitch even though updat uninstal instal,1,1
enjoy shopping at home,enjoy shop home,5,0
kahit nakakaubos ng pera go!! go!! goo!! hahahaha iloveee shoppeee!!! kuya will baka naman hahahaha,nakakaubo pera go go goo hahahaha ilovee shoppee kuya baka hahahaha,5,0
so convenient to use. 😊,conveni use,5,0
the best shop satiesfied verry affordable,best shop satiesfi verri afford,5,0
"easy to shop anything you want. affordable items, shoppe in just one click the items you want, wait for delivery and pay.done!",easi shop anyth want afford shopp one click want wait deliveri pay done,4,0
"karamihan sa mga product,limited lang yung access.",product limit access,1,1
i really love this app.,realli love,5,0
very amazing app,amaz,5,0
ok po salamat,ok po salamat,5,0
this is cool,cool,5,0
very usefull.. easy access and easy shopping,useful easi access easi shop,4,0
i choose shopee more than any. good product and more discount what i love most.,choos good product discount love,5,0
great item,great,5,0
they delivered orders on time and with very nice and safety packaging.,deliv order time nice safeti packag,5,0
very accommodating.. everything you need is here 😊😊,accommod everyth need,5,0
easy shopping,easi shop,5,0
its not hastle and very satisfying,hastl satisfi,5,0
listen to you users.,listen user,1,1
easy. shopee no.1,easi,5,0
shoppe is the best online shop,shopp best onlin shop,5,0
ugh,ugh,5,0
"napadami ako ng gastos pero di natin maiiwasan na merong flaw yung ibang bagay. over all, maganda naman yung quality ng app. pero minsan nag kacrash sya lalo na sa pc(website)",napadami gasto natin maiiwasan merong flaw ibang bagay maganda qualiti nag kacrash sya lalo pc websit,4,0
i love ito,love,5,0
very good quality,good qualiti,5,0
super quality ng items.,super qualiti,5,0
"ang pangit na ng shopee ngayon. makunat na. 1. non pwede free shipping plus voucher na discount, ngayon isa nalang pwede. 2. di na pwede pambayad sa piso deals ang coins 3. wala nang voucher kapag nagbayad ka ng bills 4. wala nang free shipping talaga. may natitira pa rin na 19 pesos kahit gumamit ka ng free shipping voucher 5. ang tagal magdeliver nasstuck sa hub ang parcel 6. bukod pa yung kumuha silang enabler na ambassador, yan lahat yung mga ayaw ko. kaya lazada na ko ngayon. #switchna",pangit makunat non pwede free ship plu voucher discount nalang pwede pwede pambayad piso deal coin wala nang voucher nagbayad bill wala nang free ship talaga natitira rin peso gumamit free ship voucher tagal magdeliv nasstuck hub parcel bukod silang enabl ambassador yan ayaw lazada switchna,1,1
"no more hustle anything you want to buy from this app is already like groceries, clothes, shoes, and etc.",hustl anyth want buy alreadi like groceri cloth shoe etc,5,0
satisfied with the item received,satisfi receiv,5,0
very helpful app,help,5,0
i love the app,love,5,0
ang bagal mag loading mabilis naman net namin. nakaka irita ang bagal.,bagal mag load mabili net nakaka irita bagal,3,1
5 stars bcoz i'm using shoppee since day 1,star bcoz use sinc day,5,0
🤭ggi napaia ganda,ggi napaia ganda,5,0
"very poor customer service , big company who don't have enough employee to take customer services been trying to request assistance for 1 week but still don't have any",poor custom servic big compani enough employe take custom servic tri request assist week still,1,1
easy to use and customer support is fast and helpful.. thanks!,easi use custom support fast help thank,5,0
i love this app but this is more great if you have pinned message in chats,love great pin messag chat,4,0
shipping fee is too expensive. you buy multiple product worth 300php or less it would cost you more than half for shipping. kala mo sa probinsya idedeliver eh metro manila lang din naman. di na tuloy makabili ng madaming product from the same seller or store.,ship fee expens buy multipl product worth php less would cost half ship kala mo probinsya idedeliv eh metro manila tuloy makabili madam product store,1,1
"very helpful apps. no need to go somewhere to buy something u need, just one click away. thank you shoppee",help app need go somewher buy someth u need one click away thank,5,0
salamat shopee❣️❣️❣️,salamat,5,0
i super love it this app. very affordable and easy to buy and check the updates write to your inbox. and very responsive. thank you more powers... 😍😍😍,super love afford easi buy check updat write inbox respons thank power,5,0
shoppe is the best!!,shopp best,5,0
very useful and amazing,use amaz,5,0
inuubos nya pera ko,inuubo nya pera,1,1
thank you seller. thank you shoppee. i highly recommend this,thank thank highli recommend,5,0
no problema. its legit,problema legit,5,0
"nothing to say just ""wow""",noth say wow,5,0
bigla nwla lumang account ko tapos d pa nabalik bayad sa e wallet nangyari shopee,bigla nwla lumang account tapo nabalik bayad e wallet nangyari,1,1
shopee offers quick and easy shopping. there are many choices of products to choose from. items are offered at cheaper prices. products offered are of good quality. ninja van delivery men are very polite. they deserve 5 stars. looking forward in seeing a wider choice of good products at preferred low prices to cater to a wider consumer market. thank you shopee for bringing the marketplace close to valued consumers like me at affordable prices.,offer quick easi shop mani choic product choos offer cheaper price product offer good qualiti ninja van deliveri men polit deserv star look forward see wider choic good product prefer low price cater wider consum market thank bring marketplac close valu consum like afford price,5,0
"free shipping vouchers and starterkit items says they've already been redeem. first order ko pa nga lang, na redeem ko na agad? ano nalang pala use ng binigay nyung vouchers?",free ship voucher starterkit say alreadi redeem first order nga redeem agad nalang pala use binigay nyung voucher,3,1
nakakadik.,nakakadik,5,0
shopee is not good anymore.. i think its time to switch.. in lazada.. well thanks shopee...,good anymor think time switch lazada well thank,1,1
great,great,5,0
hassle free shopping and the price is good but the courier service is poor ..,hassl free shop price good courier servic poor,4,0
everything i've ordered in different store were good and no problem so far.,everyth order differ store good problem far,5,0
salamat shopee sabi ni sinatur manny 😁,salamat sinatur manni,5,0
terrible service. doesn't live up to their advertisements and doesn't adhere to delivery dates.,terribl servic live advertis adher deliveri date,1,1
why i cant update my shopee ups,cant updat up,4,0
it's so helpful,help,5,0
"zero stars if possible! the worst customer support ever! they will ban yiur account from time to time with unjust reasons. don't even waste time to appeal because they will not listen to that. they will ignore whatever you say and insost on their thing their email support team uses a template and use it over and over again without understanding what you just asked for. if you retaliate, they will make you wait longer and will not attend to your concerns even more.",zero star possibl worst custom support ever ban yiur account time time unjust reason even wast time appeal listen ignor whatev say insost thing email support team use templat use without understand ask retali make wait longer attend concern even,1,1
lakas maka pang uto itong shopee refer daw kuno wala naman binibigay panay invite ko naman. sabi ng mga invite ko nag install na... tapos yong upgrade na shopay wala den... iba nalang shop totoo sila unlike this shop.. sa lazada madali mag refund more discount pa...haysss lipat na,laka maka pang uto itong refer daw kuno wala binibigay panay invit invit nag instal tapo yong upgrad shopay wala den nalang shop totoo unlik shop lazada madali mag refund discount haysss lipat,1,1
happy shopee shopping😍,happi shop,5,0
"shopee is a great site to sell and a great site to buy. it is a user friendly platform with very good customer service accessible via hotline, chat via app and email. thank you shopee for facilitating smooth selling and buying transactions.",great site sell great site buy user friendli platform good custom servic access via hotlin chat via email thank facilit smooth sell buy transact,5,0
😉😉😉😉😉 maganda,maganda,5,0
thanks to free shipping and vouchers i am not spending much money.,thank free ship voucher spend much money,5,0
good apps ...very helpful,good app help,4,0
love shopping here in shopee!,love shop,4,0
useful app. easy access for immediate needs. ☺️,use easi access immedi need,5,0
pangit,pangit,1,1
goods order kayo dito,good order kayo,5,0
my fav app,fav,5,0
ang gaganda ng na bibili ko dito kaya five star skn salamat shoppe hahahahaha,gaganda bibili five star skn salamat shopp hahahahaha,5,0
i like this app❤️❤️❤️,like,5,0
awesome...,awesom,5,0
shopee ano na? puro pakabig na lang ba? bawal na dalawang vouchers gamitin tapos ngayon admin fee naman sa shopee pay?! hindi niyo madadala sa hukay ang pera huy.,puro pakabig ba bawal dalawang voucher gamitin tapo admin fee pay niyo madadala hukay pera huy,1,1
very reliable. thumbs up,reliabl thumb,3,1
"kainis! napakatagal ng delivery, naka shopee pay na nga lahat lahat inaabot parin ng dalawang linggo",kaini napakatag deliveri naka pay nga inaabot parin dalawang linggo,1,1
great!👍,great,5,0
"2nd time ordering gadgets, always good and legit.",nd time order gadget alway good legit,5,0
great experienced..easy to buy stuff and delivered fast..will buy more,great experienc easi buy stuff deliv fast buy,5,0
better than waht i expect for.😍,better waht expect,5,0
love shopee.. 😍,love,5,0
nice..... very much!,nice much,5,0
exxelent po.im verry happy buying some items,exxel po im verri happi buy,5,0
"change my review from 5 to 1 star. so disappointing!! 1st, i can't use 2 vouchers at a time. then the delivery took so long now! your service getting low from time to time!!!",chang review star disappoint st use voucher time deliveri took long servic get low time time,1,1
anong nangyari? na log out yung shopee account ko then ni-log in ko pero error lumalabas. mag oorder pa naman ako.pls help,anong nangyari log account log error lumalaba mag oorder pl help,3,1
speechless 🙊,speechless,5,0
its good app,good,5,0
"i tried to reach shopee for my returned item, only response is a tracking number without progress for almost a month! i paid for the cellphone, they have it until today😭",tri reach return respons track number without progress almost month paid cellphon today,1,1
oppo order ko tapos iba ang dumating wag kayong mag papasok ng mga scammer na saller kase kayo ang masisira hindi kami,oppo order tapo dumat wag kayong mag papasok scammer saller kase kayo masisira,1,1
great services!,great servic,5,0
"i observed that if you use cod as mode of payment, delivery of order is faster rather than using shopee pay as mode of payment. i will never use shopee pay as mode of payment again!",observ use cod mode payment deliveri order faster rather use pay mode payment never use pay mode payment,5,0
this app is great and best❤❤,great best,5,0
this app made me happy espesally this time beacause we cannot go on the mall but shoppe is thier,made happi espes time beacaus cannot go mall shopp thier,5,0
not responding to my concern.,respond concern,1,1
thumbs up,thumb,5,0
great fast deliver,great fast deliv,4,0
i love shopee ♥️,love,5,0
very nice apps ever,nice app ever,5,0
very excellent,excel,5,0
i enjoying this apps cause i buy the things that i wanted to buy and also they have a lot of vouchers,enjoy app caus buy thing want buy also lot voucher,4,0
good very reliable,good reliabl,5,0
happy shopping here 😋,happi shop,5,0
hagang check out lng ako 😐🤦🏽‍♀️😭,hagang check lng,5,0
salamat shopee ngrefund talaga sila sa sirang items..,salamat ngrefund talaga sirang,5,0
"been using this app for long now and it never fails me. very satisfied user. i just wish that you join with gcash, i mean in payment area during checkout and/or top-ups in shopeepay. it'll be really helpful for us gcash users. 😅",use long never fail satisfi user wish join gcash mean payment area checkout top up shopeepay realli help us gcash user,5,0
amzing,amz,5,0
m.a.dal.as .nami.n ito g.ina.ga.mit .kas.e pag. d.i k.a.mi .n.ak.aka.lab.as ng .ba.hay. da.hil. m.a.y. b.aby .n aka ka.bi li ka..mi d2 good po hehehehehehmasaya,dal nami n g ina ga mit ka e pag k mi n ak aka lab ba hay da hil b abi n aka bi li mi good po hehehehehehmasaya,4,0
satisfied po ako sa mga nbili ko,satisfi po nbili,5,0
abot dito sa isla. advance ng isang araw ang kanilang padala. salamat po for existing. umaasa akong mapalago n'yo ang app. 💗,abot isla advanc araw padala salamat po exist umaasa akong mapalago n yo,5,0
super loved it,super love,5,0
amazing but loading sometimes please fix this. thank you,amaz load sometim pleas fix thank,4,0
okay nmn po happy lalo sa herskin accept lang sa iba items na nkuha q sa seller 😅 pero happy nmn po . ty shoppe . at sa always nag deliver na riders. sakin. ❤️,okay nmn po happi lalo herskin accept nkuha q happi nmn po ty shopp alway nag deliv rider sakin,5,0
very nice 👍 app,nice,5,0
great apps.,great app,4,0
great app for selling and buying!,great sell buy,5,0
accomodating,accomod,5,0
2's dayy<3,dayi,5,0
very convenient for me to shop. .,conveni shop,5,0
maganda siya gamitin,maganda gamitin,5,0
easy to use apps.,easi use app,5,0
satisfying,satisfi,5,0
i can't log in or sign up,log sign,1,1
super nakakagastos,super nakakagasto,5,0
